shots,start,end,background,end background,type
40365,1.95,2.01,D,4.74,constant
40366,0,2.51,N,20,spline
40366,3.5,4.09,N,20,spline
40366,5.08,5.69,N,20,spline
40366,6.67,7.3,N,20,spline
40366,7.83,9.9,N,20,spline
41137,0,2.55,N,20,spline
41137,3.14,3.36,N,20,spline
41137,3.9,4.1,N,20,spline
41137,4.73,4.84,N,20,spline
41137,5.52,5.6,N,20,spline
41137,6.27,6.35,N,20,spline
41137,7.01,7.11,N,20,spline
41137,7.77,7.83,N,20,spline
41137,8.53,9.9,N,20,spline
41157,4.25,4.5,D,20,constant
41158,0,2.54,N,20,spline
41158,3.16,3.31,N,20,spline
41158,3.9,4.09,N,20,spline
41158,4.7,4.83,N,20,spline
41158,5.45,5.59,N,20,spline
41158,6.23,6.32,N,20,spline
41158,6.98,7.08,N,20,spline
41158,7.76,7.85,N,20,spline
41158,8.49,9.9,N,20,spline
